# Sao Paulo Mirante (A701), -23.496289, -46.620067, 785.64 m
# date,°C,%,hPa,mm,m/s,degree
date,tc,rh,pr,rr,ws,wd
2024-08-06 22:00:00-03:00,22.7,45.0,928.4,0.0,1.9,86.0
2024-08-06 23:00:00-03:00,21.4,49.0,928.3,0.0,0.4,100.0
2024-08-07 00:00:00-03:00,20.9,51.0,928.0,0.0,0.7,80.0
2024-08-07 01:00:00-03:00,20.3,54.0,927.7,0.0,0.0,84.0
2024-08-07 02:00:00-03:00,20.0,55.0,927.2,0.0,0.4,77.0
2024-08-07 03:00:00-03:00,19.2,60.0,926.9,0.0,0.0,86.0
2024-08-07 04:00:00-03:00,18.4,63.0,926.6,0.0,0.0,114.0
2024-08-07 05:00:00-03:00,17.9,66.0,926.6,0.0,0.2,106.0
2024-08-07 06:00:00-03:00,17.5,67.0,926.8,0.0,0.0,114.0
2024-08-07 07:00:00-03:00,17.6,69.0,927.6,0.0,0.0,141.0
2024-08-07 08:00:00-03:00,20.1,59.0,928.0,0.0,0.8,183.0
2024-08-07 09:00:00-03:00,23.6,41.0,928.5,0.0,1.0,88.0
2024-08-07 10:00:00-03:00,24.5,34.0,928.4,0.0,1.3,183.0
2024-08-07 11:00:00-03:00,25.0,32.0,927.6,0.0,3.7,8.0
2024-08-07 12:00:00-03:00,26.5,28.0,926.9,0.0,3.5,14.0
2024-08-07 13:00:00-03:00,27.7,25.0,925.8,0.0,3.0,19.0
2024-08-07 14:00:00-03:00,27.9,25.0,924.9,0.0,3.0,346.0
2024-08-07 15:00:00-03:00,27.8,23.0,924.2,0.0,4.9,5.0
2024-08-07 16:00:00-03:00,27.6,24.0,923.9,0.0,3.5,32.0
2024-08-07 17:00:00-03:00,26.7,25.0,923.9,0.0,2.2,37.0
2024-08-07 18:00:00-03:00,25.3,28.0,924.2,0.0,1.6,41.0
2024-08-07 19:00:00-03:00,24.6,29.0,924.5,0.0,1.6,45.0
2024-08-07 20:00:00-03:00,24.1,30.0,925.1,0.0,1.4,41.0
2024-08-07 21:00:00-03:00,23.7,31.0,925.3,0.0,2.0,43.0
2024-08-07 22:00:00-03:00,23.2,32.0,925.5,0.0,1.6,51.0
2024-08-07 23:00:00-03:00,22.5,34.0,926.0,0.0,1.0,26.0
2024-08-08 00:00:00-03:00,21.3,38.0,926.1,0.0,0.4,342.0
2024-08-08 01:00:00-03:00,20.2,44.0,925.7,0.0,0.0,211.0
2024-08-08 02:00:00-03:00,21.2,38.0,925.3,0.0,1.6,5.0
2024-08-08 03:00:00-03:00,20.2,41.0,924.6,0.0,0.1,43.0
2024-08-08 04:00:00-03:00,19.9,43.0,924.1,0.0,0.3,119.0
2024-08-08 05:00:00-03:00,18.6,48.0,924.5,0.0,0.0,171.0
2024-08-08 06:00:00-03:00,20.6,40.0,924.8,0.0,0.8,4.0
2024-08-08 07:00:00-03:00,20.5,41.0,925.5,0.0,0.3,3.0
2024-08-08 08:00:00-03:00,20.9,44.0,925.1,0.0,1.3,74.0
2024-08-08 09:00:00-03:00,23.3,39.0,926.0,0.0,1.1,187.0
2024-08-08 10:00:00-03:00,25.0,31.0,926.2,0.0,2.0,346.0
2024-08-08 11:00:00-03:00,26.2,30.0,925.9,0.0,2.7,13.0
2024-08-08 12:00:00-03:00,27.2,28.0,925.3,0.0,4.6,356.0
2024-08-08 13:00:00-03:00,28.7,25.0,924.4,0.0,3.7,10.0
2024-08-08 14:00:00-03:00,28.7,23.0,923.9,0.0,3.8,12.0
2024-08-08 15:00:00-03:00,29.1,23.0,923.7,0.0,3.6,343.0
2024-08-08 16:00:00-03:00,28.7,24.0,923.7,0.0,2.3,18.0
2024-08-08 17:00:00-03:00,27.9,26.0,923.9,0.0,2.0,5.0
2024-08-08 18:00:00-03:00,27.0,28.0,924.5,0.0,1.2,302.0
2024-08-08 19:00:00-03:00,26.6,29.0,924.8,0.0,1.1,319.0
2024-08-08 20:00:00-03:00,25.7,32.0,925.2,0.0,1.4,62.0
2024-08-08 21:00:00-03:00,25.3,32.0,925.6,0.0,1.3,356.0
2024-08-08 22:00:00-03:00,23.8,37.0,925.9,0.0,0.1,280.0
2024-08-08 23:00:00-03:00,24.4,37.0,926.6,0.0,1.2,312.0
2024-08-09 00:00:00-03:00,23.5,41.0,926.7,0.0,1.0,299.0
2024-08-09 01:00:00-03:00,23.2,43.0,926.4,0.0,2.4,270.0
2024-08-09 02:00:00-03:00,21.9,53.0,925.9,0.0,1.9,258.0
2024-08-09 03:00:00-03:00,20.6,64.0,926.1,0.0,1.4,211.0
2024-08-09 04:00:00-03:00,19.7,66.0,926.8,0.0,1.5,264.0
2024-08-09 05:00:00-03:00,18.8,72.0,927.0,0.2,0.2,143.0
2024-08-09 06:00:00-03:00,19.3,68.0,925.9,0.0,2.3,93.0
2024-08-09 07:00:00-03:00,19.3,67.0,927.6,0.0,0.0,19.0
2024-08-09 08:00:00-03:00,19.6,69.0,927.7,0.0,1.4,10.0
2024-08-09 09:00:00-03:00,19.4,70.0,928.8,0.4,1.9,359.0
2024-08-09 10:00:00-03:00,19.1,69.0,929.5,0.0,3.2,334.0
2024-08-09 11:00:00-03:00,19.0,58.0,929.5,0.0,3.7,347.0
2024-08-09 12:00:00-03:00,17.2,71.0,928.7,0.2,2.4,32.0
2024-08-09 13:00:00-03:00,17.2,72.0,927.9,0.0,3.0,342.0
2024-08-09 14:00:00-03:00,16.7,74.0,927.0,0.0,4.4,3.0
2024-08-09 15:00:00-03:00,16.3,78.0,926.6,0.4,2.9,350.0
2024-08-09 16:00:00-03:00,16.4,79.0,926.6,0.0,2.1,355.0
2024-08-09 17:00:00-03:00,16.7,77.0,926.7,0.4,2.1,329.0
2024-08-09 18:00:00-03:00,16.3,80.0,927.0,0.2,1.8,336.0
2024-08-09 19:00:00-03:00,16.0,84.0,926.8,0.6,0.4,2.0
2024-08-09 20:00:00-03:00,15.7,86.0,927.1,1.0,0.0,71.0
2024-08-09 21:00:00-03:00,15.5,87.0,926.9,1.8,0.0,31.0
2024-08-09 22:00:00-03:00,13.1,91.0,927.9,7.4,2.0,241.0
2024-08-09 23:00:00-03:00,13.1,91.0,927.6,3.2,1.5,219.0
2024-08-10 00:00:00-03:00,12.7,91.0,927.0,4.0,1.9,208.0
2024-08-10 01:00:00-03:00,12.1,91.0,927.4,6.6,1.9,248.0
2024-08-10 02:00:00-03:00,11.6,91.0,927.1,4.2,2.3,207.0
2024-08-10 03:00:00-03:00,11.5,92.0,926.4,2.6,1.1,214.0
2024-08-10 04:00:00-03:00,10.6,91.0,926.4,3.6,2.1,217.0
2024-08-10 05:00:00-03:00,10.0,91.0,926.7,2.0,2.4,209.0
2024-08-10 06:00:00-03:00,9.8,91.0,927.8,1.0,1.3,263.0
2024-08-10 07:00:00-03:00,10.1,91.0,927.5,1.0,0.8,196.0
2024-08-10 08:00:00-03:00,10.2,91.0,928.6,1.2,0.3,230.0
