Data read from file:/home/alejandro/CMAQv5.5/data/POST/COMBINE_ACONC_v55_intel_CR2_BASEv01_202409.nc (layer  1)

   Note: Times have been converted to local standard


siteid,column,row,longitude,latitude,date,Time,RH,SFC_TMP,PBLH,WSPD10,WDIR10
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,%,K,m,m s-1,deg
701,28,35,-46.62007,-23.49629,2024-09-03,15:00:00,35.3011,304.605,2455.20,4.39691,226.846
701,28,35,-46.62007,-23.49629,2024-09-03,16:00:00,46.7677,302.888,1198.48,4.62618,186.658
701,28,35,-46.62007,-23.49629,2024-09-03,17:00:00,44.6756,302.008,945.206,4.23029,171.939
701,28,35,-46.62007,-23.49629,2024-09-03,18:00:00,41.9346,301.417,538.109,3.60032,164.201
701,28,35,-46.62007,-23.49629,2024-09-03,19:00:00,42.9146,299.998,239.660,2.24646,149.079
701,28,35,-46.62007,-23.49629,2024-09-03,20:00:00,43.6719,298.652,234.951,1.38508,67.1271
701,28,35,-46.62007,-23.49629,2024-09-03,21:00:00,42.5882,298.200,225.548,1.60082,64.5345
701,28,35,-46.62007,-23.49629,2024-09-03,22:00:00,41.1271,297.759,88.3624,1.46691,67.3635
701,28,35,-46.62007,-23.49629,2024-09-03,23:00:00,42.9987,296.847,170.477,3.05777,53.2845
701,28,35,-46.62007,-23.49629,2024-09-04,00:00:00,46.7083,295.872,180.059,2.96860,59.1586
701,28,35,-46.62007,-23.49629,2024-09-04,01:00:00,49.6505,294.936,174.319,3.08298,58.3734
701,28,35,-46.62007,-23.49629,2024-09-04,02:00:00,52.9289,294.243,164.486,2.67469,60.6909
701,28,35,-46.62007,-23.49629,2024-09-04,03:00:00,57.1558,293.625,148.780,2.67407,64.4462
701,28,35,-46.62007,-23.49629,2024-09-04,04:00:00,60.2324,292.974,146.784,2.54922,65.7562
701,28,35,-46.62007,-23.49629,2024-09-04,05:00:00,62.1633,292.666,141.033,2.67476,65.2793
701,28,35,-46.62007,-23.49629,2024-09-04,06:00:00,61.5774,292.263,119.051,2.65784,70.3101
701,28,35,-46.62007,-23.49629,2024-09-04,07:00:00,56.9434,293.060,137.550,3.15483,68.9706
701,28,35,-46.62007,-23.49629,2024-09-04,08:00:00,48.5481,294.878,108.006,3.82669,65.4199
