Data read from file:/home/alejandro/CMAQv5.5/data/POST/COMBINE_ACONC_v55_intel_CR2_BASEv01_202408.nc (layer  1)

   Note: Times have been converted to local standard


siteid,column,row,longitude,latitude,date,Time,O3_UGM3,NO_UGM3,NO2_UGM3,NH3_UGM3,CO,SO2_UGM3,TOL_UGM3,PM10,PM25_TOT,N10,N20,N40,N100
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,ug m-3,ug m-3,ug m-3,ug m-3,ppbV,ug m-3,ug m-3,ug m-3,ug m-3,cm-3,cm-3,cm-3,cm-3
275,10,56,-47.11928,-22.94673,2024-08-29,20:00:00,46.5850,0.485625,34.4976,4.49570,279.089,0.692537,3.30426,17.1711,8.96946,4869.14,4082.16,1960.06,534.682
275,10,56,-47.11928,-22.94673,2024-08-29,21:00:00,52.9249,0.349653,27.8629,3.96353,241.649,0.651879,2.59328,17.1673,8.78912,4275.24,3643.33,1798.97,507.929
275,10,56,-47.11928,-22.94673,2024-08-29,22:00:00,36.0487,0.690524,33.9543,4.90581,263.614,0.761233,3.10834,18.1094,8.73819,4750.47,4002.34,1937.35,550.119
275,10,56,-47.11928,-22.94673,2024-08-29,23:00:00,17.3699,2.35442,40.8932,5.71779,307.042,0.842240,4.09554,18.9424,8.35969,5432.01,4478.13,2100.20,593.746
275,10,56,-47.11928,-22.94673,2024-08-30,00:00:00,3.84470,12.0700,49.9130,7.22719,439.736,1.01817,6.62219,22.2335,9.56676,7551.36,6196.00,2874.29,767.075
275,10,56,-47.11928,-22.94673,2024-08-30,01:00:00,0.642744,34.5880,55.5898,8.92031,679.187,1.23987,10.9976,26.9239,12.3461,11324.2,9094.30,4058.40,1042.12
275,10,56,-47.11928,-22.94673,2024-08-30,02:00:00,0.294750,49.2055,58.2357,10.1155,840.977,1.35524,13.9428,29.7847,14.3667,13927.5,11096.3,4858.23,1220.83
275,10,56,-47.11928,-22.94673,2024-08-30,03:00:00,0.270647,42.8956,58.5585,9.24874,794.114,1.22571,13.0578,27.8333,13.6955,13298.1,10623.4,4661.33,1171.21
275,10,56,-47.11928,-22.94673,2024-08-30,04:00:00,0.134533,48.9097,60.9586,9.15685,864.622,1.28364,14.3028,28.2887,14.4944,14406.6,11488.9,5023.07,1256.24
275,10,56,-47.11928,-22.94673,2024-08-30,05:00:00,0.742503E-01,54.0192,62.4506,9.81717,921.378,1.37958,15.3458,29.4991,15.3237,15446.9,12380.9,5408.05,1338.13
275,10,56,-47.11928,-22.94673,2024-08-30,06:00:00,0.575796,53.5420,61.3117,10.2351,909.790,1.38512,15.1687,29.3073,15.2150,15301.6,12306.9,5399.03,1338.16
275,10,56,-47.11928,-22.94673,2024-08-30,07:00:00,8.61693,47.2738,51.7931,8.43464,800.634,1.21155,13.1199,26.7015,14.1529,13339.7,10907.1,4989.69,1232.76
275,10,56,-47.11928,-22.94673,2024-08-30,08:00:00,19.2302,34.9259,41.6059,6.70551,636.828,0.949013,9.97694,24.4653,12.3993,10427.5,8629.51,4088.98,1017.73
275,10,56,-47.11928,-22.94673,2024-08-30,09:00:00,34.5144,16.9829,28.7805,4.35817,406.714,0.619016,5.72363,22.0415,9.36780,6425.72,5303.45,2583.18,693.931
275,10,56,-47.11928,-22.94673,2024-08-30,10:00:00,48.1474,10.1284,21.5002,3.07625,313.488,0.494830,3.91110,21.4975,8.46787,4775.63,3944.07,1964.53,566.135
275,10,56,-47.11928,-22.94673,2024-08-30,11:00:00,62.3529,7.22773,19.3257,2.33305,293.160,0.464866,3.30038,21.8465,8.77442,4284.28,3487.44,1734.95,527.397
275,10,56,-47.11928,-22.94673,2024-08-30,12:00:00,75.4113,6.19582,20.4180,2.11885,312.599,0.480520,3.34935,23.1243,9.86575,4455.47,3609.88,1820.20,558.435
275,10,56,-47.11928,-22.94673,2024-08-30,13:00:00,89.2791,5.52528,23.1215,2.09773,349.517,0.516752,3.64250,25.3056,11.3491,4797.70,3742.71,1908.80,615.637
275,10,56,-47.11928,-22.94673,2024-08-30,14:00:00,101.553,4.72932,25.8751,2.11629,387.238,0.570793,3.91674,28.2171,13.0362,5095.33,3846.16,1990.74,684.651
275,10,56,-47.11928,-22.94673,2024-08-30,15:00:00,109.242,3.57168,27.4302,2.08017,400.689,0.611419,3.94055,30.1815,14.1262,5225.70,3964.17,2066.16,718.556
275,10,56,-47.11928,-22.94673,2024-08-30,16:00:00,107.919,2.11294,27.1757,2.10069,376.211,0.622545,3.58975,29.7358,13.8249,5126.05,4059.69,2107.18,694.634
275,10,56,-47.11928,-22.94673,2024-08-30,17:00:00,99.3400,0.541774,26.4524,2.30985,331.575,0.602632,3.10382,27.4427,12.4806,4762.86,3896.87,2001.46,624.671
275,10,56,-47.11928,-22.94673,2024-08-30,18:00:00,78.0435,0.238618,35.7889,3.76531,370.882,0.731385,3.90525,27.3312,12.9063,5711.33,4694.59,2325.99,686.910
275,10,56,-47.11928,-22.94673,2024-08-30,19:00:00,47.1861,0.476857,55.2466,6.89419,459.666,1.04654,5.64525,28.9051,14.5314,7769.73,6403.71,3032.54,818.438
275,10,56,-47.11928,-22.94673,2024-08-30,20:00:00,23.0329,1.40558,88.8134,11.8193,672.372,1.50455,9.16935,38.0345,19.6900,11142.8,9426.71,4636.10,1162.08
275,10,56,-47.11928,-22.94673,2024-08-30,21:00:00,40.0551,0.550296,77.3256,10.4913,621.987,1.42264,8.01628,40.0055,20.0760,9777.96,8135.89,4089.03,1115.71
275,10,56,-47.11928,-22.94673,2024-08-30,22:00:00,52.4380,0.339280,56.4715,8.44754,459.491,1.26440,5.61572,30.4596,17.4269,7873.88,6939.00,3639.30,929.163
275,10,56,-47.11928,-22.94673,2024-08-30,23:00:00,53.0323,0.303884,33.1432,5.12893,299.530,0.791757,3.21871,21.8588,11.4296,4992.18,4411.42,2316.02,618.835
275,10,56,-47.11928,-22.94673,2024-08-31,00:00:00,24.4056,1.63391,46.6326,7.35020,366.330,0.944983,4.74701,23.6215,10.9960,6276.81,5343.43,2620.48,693.708
275,10,56,-47.11928,-22.94673,2024-08-31,01:00:00,2.52087,12.8768,65.2508,9.34753,567.934,1.27801,8.59718,28.2507,13.8023,9783.94,8379.41,4082.08,991.936
275,10,56,-47.11928,-22.94673,2024-08-31,02:00:00,0.125757,33.4419,69.2421,10.0744,769.146,1.50419,12.3231,31.4774,16.4357,13082.8,10989.6,5267.20,1257.42
275,10,56,-47.11928,-22.94673,2024-08-31,03:00:00,0.922282E-01,40.2483,67.6225,10.1069,821.934,1.54424,13.3476,31.8358,16.7849,13920.2,11614.0,5526.01,1318.00
275,10,56,-47.11928,-22.94673,2024-08-31,04:00:00,0.104673,42.8717,64.8959,10.3248,812.769,1.52735,13.2922,30.9838,16.0787,13833.2,11395.5,5345.86,1286.04
275,10,56,-47.11928,-22.94673,2024-08-31,05:00:00,0.977196E-01,45.5825,62.3749,10.9300,812.019,1.54870,13.3412,30.9668,15.5737,13917.0,11421.3,5275.02,1265.85
275,10,56,-47.11928,-22.94673,2024-08-31,06:00:00,0.561409,51.9158,60.0332,12.3139,852.122,1.66223,14.1240,32.0127,15.9141,14680.0,12119.5,5532.10,1307.99
275,10,56,-47.11928,-22.94673,2024-08-31,07:00:00,6.59541,62.1008,53.8022,12.7874,917.550,1.76855,15.2701,33.6612,17.4900,15723.9,13303.0,6268.73,1435.86
275,10,56,-47.11928,-22.94673,2024-08-31,08:00:00,19.5499,36.2490,42.7302,9.91877,629.812,1.28267,9.85657,29.7260,13.8515,10751.2,9164.49,4459.78,1065.05
275,10,56,-47.11928,-22.94673,2024-08-31,09:00:00,42.1723,12.1038,25.2713,6.30978,335.625,0.740468,4.40774,24.9586,9.64649,5590.09,4756.33,2395.41,643.959
275,10,56,-47.11928,-22.94673,2024-08-31,10:00:00,71.1439,5.56086,17.7290,3.83597,270.529,0.554812,2.81303,24.6398,9.69701,4063.00,3461.05,1815.61,536.244
275,10,56,-47.11928,-22.94673,2024-08-31,11:00:00,102.268,3.22075,14.6172,2.68036,280.658,0.517339,2.35841,26.5402,11.7211,3844.59,3277.43,1793.20,557.932
275,10,56,-47.11928,-22.94673,2024-08-31,12:00:00,128.730,2.21951,13.0511,2.40724,305.230,0.533542,2.19125,28.7652,13.7833,3939.22,3237.03,1794.47,606.893
275,10,56,-47.11928,-22.94673,2024-08-31,13:00:00,148.220,1.71189,12.4949,2.40253,324.452,0.543729,2.12299,30.1571,15.0149,3993.24,3159.16,1753.83,633.195
275,10,56,-47.11928,-22.94673,2024-08-31,14:00:00,159.002,1.43942,12.8103,2.47340,337.567,0.547320,2.12831,30.4816,15.4893,4024.96,3136.93,1740.10,644.510
275,10,56,-47.11928,-22.94673,2024-08-31,15:00:00,159.264,1.12348,12.6847,2.43560,328.678,0.522445,2.00272,28.9084,14.7952,3830.01,2988.95,1656.88,614.657
275,10,56,-47.11928,-22.94673,2024-08-31,16:00:00,156.295,0.701171,13.1724,2.50511,317.680,0.511239,1.89929,27.5824,14.2767,3623.21,2820.51,1572.08,591.728
275,10,56,-47.11928,-22.94673,2024-08-31,17:00:00,154.180,0.179901,14.9317,2.72566,319.511,0.534697,1.91368,27.0134,14.4357,3622.99,2878.46,1611.70,591.069
275,10,56,-47.11928,-22.94673,2024-08-31,18:00:00,137.291,0.388681E-01,26.1111,4.21058,380.434,0.725766,2.92647,28.1057,16.0310,4914.65,4070.75,2190.86,693.654
275,10,56,-47.11928,-22.94673,2024-08-31,19:00:00,92.3867,0.690405E-01,53.7062,8.02320,508.155,1.21390,5.41522,32.2913,19.1131,7845.20,6667.60,3398.52,914.814
275,10,56,-47.11928,-22.94673,2024-08-31,20:00:00,101.718,0.596762E-01,28.4940,5.29091,342.179,0.852743,2.82017,27.1248,15.8469,5153.34,4726.15,2675.86,712.421
95,24,33,-46.73742,-23.56634,2024-08-27,21:00:00,5.14609,8.97427,53.4304,6.49482,346.510,0.879154,4.82103,6.58032,5.19524,6590.43,6310.45,4323.20,950.838
95,24,33,-46.73742,-23.56634,2024-08-27,22:00:00,5.51806,8.93430,52.4821,7.01854,341.483,0.916269,4.72524,6.73279,5.10121,6452.38,6016.67,3757.50,797.460
95,24,33,-46.73742,-23.56634,2024-08-27,23:00:00,2.02683,16.4014,56.6350,8.42089,417.887,1.10848,6.10227,8.09943,6.18683,7882.05,7138.64,4049.78,861.128
95,24,33,-46.73742,-23.56634,2024-08-28,00:00:00,0.193069,43.5694,61.0025,10.7950,658.995,1.50962,10.7012,11.8828,9.53049,12276.1,10867.7,5717.93,1231.20
95,24,33,-46.73742,-23.56634,2024-08-28,01:00:00,0.218330E-02,97.1312,68.2131,14.7463,1143.15,2.20353,19.6227,20.6116,16.4909,20867.0,18749.0,10019.8,2055.15
95,24,33,-46.73742,-23.56634,2024-08-28,02:00:00,0.465522E-03,140.240,75.6432,16.9087,1589.29,2.68857,27.6254,29.4901,23.0505,27997.7,25245.5,13441.8,2774.32
95,24,33,-46.73742,-23.56634,2024-08-28,03:00:00,0.216931E-03,173.675,81.2152,18.4549,1934.23,3.03526,33.7333,35.1726,27.9433,33086.1,30178.3,16237.2,3280.89
95,24,33,-46.73742,-23.56634,2024-08-28,04:00:00,0.312663E-03,184.088,82.4095,18.8408,2040.31,3.14249,35.5529,36.8503,29.4591,34441.3,31641.3,17215.7,3468.51
95,24,33,-46.73742,-23.56634,2024-08-28,05:00:00,0.456338E-03,168.954,80.0948,17.7720,1881.26,3.01489,32.6811,35.6305,27.7998,32248.5,29640.6,16200.7,3292.48
95,24,33,-46.73742,-23.56634,2024-08-28,06:00:00,0.237930,158.370,77.7877,16.2027,1760.07,2.79379,30.4738,34.8245,26.6430,30546.8,27976.6,15289.6,3221.15
95,24,33,-46.73742,-23.56634,2024-08-28,07:00:00,4.43733,141.127,70.3641,11.6568,1573.31,2.12974,26.9562,32.2562,25.0788,27065.5,24213.4,12773.4,2957.91
95,24,33,-46.73742,-23.56634,2024-08-28,08:00:00,10.7366,107.490,63.8950,8.24861,1280.39,1.59233,21.4763,29.3634,22.7421,21979.3,19811.8,10961.2,2478.44
95,24,33,-46.73742,-23.56634,2024-08-28,09:00:00,17.7619,77.8286,58.9752,6.50514,1024.79,1.32869,16.6759,26.9958,20.4820,17611.0,15997.5,9391.68,2146.52
95,24,33,-46.73742,-23.56634,2024-08-28,10:00:00,25.1487,58.5195,56.4096,5.75727,871.724,1.45875,13.6699,25.9544,19.1396,14898.4,13250.9,7781.91,1880.33
95,24,33,-46.73742,-23.56634,2024-08-28,11:00:00,33.2052,44.1954,55.0541,6.42696,771.143,1.52535,11.6052,26.2771,18.1858,12935.1,11151.0,6372.03,1616.82
